task_id,length,deadline,vm_id,thread,start_time,finish_time,exec_time,cost
3,208,888,2,1,0.10000,0.39909,0.29909,0.00378
2,839,1251,2,0,0.10000,0.97273,0.87273,0.01525
7,403,844,2,1,0.50909,0.97273,0.46364,0.00733
1,1149,1499,1,0,0.10000,1.08273,0.98273,0.02873
8,115,310,2,1,1.08273,1.19273,0.11000,0.00209
0,1893,2095,0,0,0.10000,1.66615,1.56615,0.05825
4,719,1227,2,0,1.08273,1.77615,0.69343,0.01307
5,814,1622,2,0,1.88615,2.62615,0.74000,0.01480
6,1093,1957,2,0,2.73615,3.73000,0.99385,0.01987
9,778,1474,2,0,3.84000,4.65727,0.81727,0.01415
16,488,873,2,1,4.75727,5.20091,0.44364,0.00887
10,969,1746,2,0,4.75727,5.74818,0.99091,0.01762
17,441,1322,2,1,5.31091,5.74818,0.43727,0.00802
14,1308,1624,0,0,4.75727,5.85818,1.10091,0.04025
11,501,1382,2,0,5.85818,6.42363,0.56545,0.00911
12,524,1091,2,0,6.53363,7.01000,0.47636,0.00953
13,824,1341,2,0,7.12000,7.87000,0.75000,0.01498
15,552,1482,2,0,7.98000,8.48182,0.50182,0.01004
18,968,1844,2,0,8.59182,9.58182,0.99000,0.01760
19,993,1846,2,0,9.69182,10.67000,0.97818,0.01805
21,242,501,2,1,10.77000,10.99000,0.22000,0.00440
24,595,782,1,0,10.77000,11.32000,0.55000,0.01488
23,402,901,2,1,11.10000,11.54000,0.44000,0.00731
20,1118,1317,0,0,10.77000,11.65000,0.88000,0.03440
28,558,734,1,0,11.43000,11.98000,0.55000,0.01395
26,1235,1847,2,0,10.77000,11.98000,1.21000,0.02245
25,398,906,2,1,11.65000,12.09000,0.44000,0.00724
22,753,1193,2,0,12.09000,12.88455,0.79455,0.01369
29,1772,2504,1,0,12.09000,13.56917,1.47917,0.04430
27,812,1657,2,0,12.99455,13.78917,0.79462,0.01476
31,242,806,2,1,13.88917,14.10917,0.22000,0.00440
35,738,910,2,0,13.88917,14.57686,0.68769,0.01342
30,1309,1612,0,0,13.88917,15.00609,1.11692,0.04028
32,1261,1744,1,0,13.88917,15.00609,1.11692,0.03153
37,693,1008,0,0,15.11609,15.66735,0.55126,0.02132
36,1543,2156,2,0,14.68686,16.09120,1.40434,0.02805
39,1686,1911,1,0,15.11609,16.63370,1.51760,0.04215
38,1513,1767,0,0,15.77735,17.05447,1.27712,0.04655
33,852,1404,2,0,16.20120,17.05447,0.85327,0.01549
34,734,1179,2,0,17.16447,17.94190,0.77743,0.01335
43,420,1156,2,1,18.04190,18.42372,0.38182,0.00764
